ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Benzi,Sagart_ID
Bantawa-143_nine-1,33993,Bantawa,143_nine,nu-ka,nu-ka,n u + k a,,Jongens2009,,,^n u - k a$,default,,33993
Bantawa-148_one-1,33995,Bantawa,148_one,ɨk,ɨk,ɨ k,,Jongens2009,,,^ɨ k$,default,,33995
Bantawa-150_outside-1,33996,Bantawa,150_outside,buŋkʰa,buŋkʰa,b u ŋ kʰ a,,Jongens2009,,,^b u ŋ kʰ a$,default,,33996
Bantawa-280_right-1,34006,Bantawa,280_right,camaŋwa,camaŋwa,c a m a ŋ w a,,Jongens2009,,,^c a m a ŋw a$,default,,34006
Bantawa-166_round-1,34013,Bantawa,166_round,bomka,bomka,b o m k a,,Jongens2009,,,^b o m k a$,default,,34013
Bantawa-282_salty-1,34016,Bantawa,282_salty,yumma,yumma,y u m m a,,Jongens2009,,,^y u mm a$,default,,34016
Bantawa-283_seven-1,34023,Bantawa,283_seven,rek-ka,rek-ka,r e k + k a,,Jongens2009,,,^r e k-k a$,default,,34023
Bantawa-284_sharp-1,34024,Bantawa,284_sharp,sepma (septu),sepma (septu),s e p m a + s e p t u,,Jongens2009,,,^s e p m a + ( s e p t u ) $,default,,34024
Bantawa-184_six-1,34031,Bantawa,184_six,sek-ka,sek-ka,s e k + k a,,Jongens2009,,,^s e k-k a$,default,,34031
Bantawa-188_small-1,34035,Bantawa,188_small,citko,citko,c i t k o,,Jongens2009,,,^c i t k o$,default,,34035
Bantawa-287_soft-1,34040,Bantawa,287_soft,notma (notta),notma (notta),n o t m a + n o t t a,,Jongens2009,,,^n o t m a + ( n o t t a ) $,default,,34040
Bantawa-290_straight-1,34049,Bantawa,290_straight,samucʰe,samucʰe,s a m u cʰ e,,Jongens2009,,,^s a m u cʰ e$,default,,34049
Bantawa-291_ten-1,34052,Bantawa,291_ten,ina-nam-,ina-nam-,i n a + n a m +,,Jongens2009,,,^i n a - n a m - $,default,,34052
Bantawa-292_that-1,34053,Bantawa,292_that,mo,mo,m o,,Jongens2009,,,^m o$,default,,34053
Bantawa-293_theant-1,33859,Bantawa,293_theant,cɨkɨyaŋ,cɨkɨyaŋ,c ɨ k ɨ y a ŋ,,Jongens2009,,,^c ɨ k ɨ y a ŋ$,default,,33859
Bantawa-297_thebamboo-1,33862,Bantawa,297_thebamboo,samba,samba,s a m b a,,Jongens2009,,,^s a m b a$,default,,33862
Bantawa-9_thebelly-1,33865,Bantawa,9_thebelly,buk,buk,b u k,,Jongens2009,,,^b u k$,default,,33865
Bantawa-12_thebird-1,33868,Bantawa,12_thebird,cʰoŋwa,cʰoŋwa,cʰ o ŋ w a,,Jongens2009,,,^cʰ o ŋw a$,default,,33868
